chamber,party,type,name,gender,bioid,screen_name,phi,merge
rep,Democrat,Congress,Judy Chu,F,C001080,RepJudyChu,-1.00752,repjudychu
rep,Democrat,Congress,Tulsi Gabbard,F,G000571,TulsiPress,-0.98346,tulsipress
rep,Democrat,Congress,Ann M. Kuster,F,K000382,RepAnnieKuster,-0.98245,repanniekuster
rep,Democrat,Congress,Joyce Beatty,F,B001281,RepBeatty,-0.97976,repbeatty
rep,Democrat,Congress,Gwen Moore,F,M001160,RepGwenMoore,-0.95858,repgwenmoore
rep,Democrat,Congress,Rosa L. DeLauro,F,D000216,rosadelauro,-0.94301,rosadelauro
rep,Democrat,Congress,Carolyn B. Maloney,F,M000087,RepMaloney,-0.94094,repmaloney
rep,Democrat,Congress,Niki Tsongas,F,T000465,nikiinthehouse,-0.92975,nikiinthehouse
rep,Democrat,Congress,Sheila Jackson Lee,F,J000032,JacksonLeeTX18,-0.8815,jacksonleetx18
rep,Democrat,Congress,Jacky Rosen,F,R000608,RepJackyRosen,-0.87978,repjackyrosen
rep,Democrat,Congress,Bonnie Watson Coleman,F,W000822,RepBonnie,-0.87547,repbonnie
rep,Democrat,Congress,Terri A. Sewell,F,S001185,RepTerriSewell,-0.84009,repterrisewell
rep,Democrat,Congress,Elizabeth H. Esty,F,E000293,RepEsty,-0.82251,repesty
rep,Democrat,Congress,Debbie Wasserman Schultz,F,W000797,RepDWStweets,-0.79544,repdwstweets
rep,Democrat,Congress,Cheri Bustos,F,B001286,RepCheri,-0.79077,repcheri
rep,Democrat,Congress,Lois Frankel,F,F000462,RepLoisFrankel,-0.77385,reploisfrankel
rep,Democrat,Congress,Suzan K. DelBene,F,D000617,RepDelBene,-0.77367,repdelbene
rep,Democrat,Congress,Stacey E. Plaskett,F,P000610,StaceyPlaskett,-0.77242,staceyplaskett
rep,Democrat,Congress,Michelle Lujan Grisham,F,L000580,RepLujanGrisham,-0.76477,replujangrisham
rep,Democrat,Congress,Val Butler Demings,F,D000627,RepValDemings,-0.7372,repvaldemings
rep,Democrat,Congress,Marcia L. Fudge,F,F000455,RepMarciaFudge,-0.7352,repmarciafudge
rep,Democrat,Congress,Dina Titus,F,T000468,repdinatitus,-0.73347,repdinatitus
rep,Democrat,Congress,Chellie Pingree,F,P000597,chelliepingree,-0.72465,chelliepingree
rep,Democrat,Congress,Suzanne Bonamici,F,B001278,RepBonamici,-0.69377,repbonamici
rep,Democrat,Congress,Norma J. Torres,F,T000474,NormaJTorres,-0.69352,normajtorres
rep,Democrat,Congress,Grace Meng,F,M001188,RepGraceMeng,-0.68379,repgracemeng
rep,Democrat,Congress,Brenda L. Lawrence,F,L000581,RepLawrence,-0.64783,replawrence
rep,Democrat,Congress,Kyrsten Sinema,F,S001191,RepSinema,-0.6424,repsinema
