"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"sencapito","193794406","SenCapito","Shelley Moore Capito","Proudly serving West Virginia in the United States Senate.",55847,6692,975,"Wed Sep 22 18:06:14 +0000 2010","","C001047","01676","Shelley Moore Capito","F","Congress","Republican","senshelley",NA,"sen"
"sencoonsoffice","435500714","SenCoonsOffice","Office of Sen. Coons","News releases, blog posts, new videos, transcripts and other resources from the office of U.S. Senator @ChrisCoons of Delaware.",6732,2197,106,"Tue Dec 13 04:02:30 +0000 2011","Delaware & Washington","C001088","01984","Christopher A. Coons","M","Congress","Democrat","senatorchriscoons","senatorchriscoons","sen"
"sencortezmasto","811313565760163844","SenCortezMasto","Senator Cortez Masto","U.S. Senator from the great state of Nevada.",28690,3304,696,"Tue Dec 20 20:53:22 +0000 2016","","C001113",NA,"Catherine Cortez Masto","F","Congress","Democrat","SenatorCortezMasto",NA,"sen"
"sencorygardner","235217558","SenCoryGardner","Cory Gardner","Proudly serving the state of Colorado in the United States Senate. This is my official Senate Twitter account.",97059,4076,290,"Fri Jan 07 17:02:56 +0000 2011","Colorado","G000562","01998","Cory Gardner","M","Congress","Republican","SenCoryGardner",NA,"sen"
"sendansullivan","2891210047","SenDanSullivan","SenDanSullivan","Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.",28034,2001,640,"Wed Nov 05 21:25:42 +0000 2014","","S001198","02290","Dan Sullivan","M","Congress","Republican","SenDanSullivan",NA,"sen"
"sendavidperdue","2863210809","sendavidperdue","David Perdue","Official Twitter account for U.S. Senator David Perdue of Georgia.",50059,3255,997,"Wed Nov 05 20:58:02 +0000 2014","Georgia","P000612","02286","David Perdue","M","Congress","Republican","SenatorDavidPerdue",NA,"sen"
"sendeanheller","266133081","SenDeanHeller","Dean Heller","Official Account for Nevada U.S. Senator @DeanHeller. #HomeMeansNevada",97422,6819,11887,"Mon Mar 14 18:31:08 +0000 2011","Nevada","H001041","01863","Dean Heller","M","Congress","Republican","SenDeanHeller","SenDeanHeller","sen"
"sendonnelly","216503958","SenDonnelly","Senator Joe Donnelly","U.S. Senator Joe Donnelly's communications staff",98723,5759,216,"Tue Nov 16 22:24:01 +0000 2010","","D000607","01850","Joe Donnelly","M","Congress","Democrat","senatordonnelly","sendonnelly","sen"
"sendougjones","941080085121175552","SenDougJones","Doug Jones","U.S. Senator for Alabama",12660,421,226,"Wed Dec 13 22:59:11 +0000 2017","Washington, DC","J000300",NA,"Doug Jones","M","Congress","Democrat",NA,NA,"sen"
"senduckworth","1058520120","SenDuckworth","Tammy Duckworth","Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",486450,4126,7251,"Thu Jan 03 18:59:33 +0000 2013","","D000622","02123","Tammy Duckworth","F","Congress","Democrat","SenDuckworth","repduckworth","sen"
"senfeinstein","476256944","SenFeinstein","Sen Dianne Feinstein","United States Senator from California. On Facebook at: http://t.co/siExqwIu",1153496,7310,224,"Fri Jan 27 23:06:59 +0000 2012","California","F000062","01332","Dianne Feinstein","F","Congress","Democrat","senatorfeinstein","SenatorFeinstein","sen"
"sengarypeters","236511574","SenGaryPeters","Senator Gary Peters","U.S. Senator proudly representing the state of Michigan.",110697,5023,1145,"Mon Jan 10 19:17:36 +0000 2011","","P000595","01929","Gary C. Peters","M","Congress","Democrat","SenGaryPeters","RepGaryPeters","sen"
